segment_id,bank,hito_code,source_order,easting_m,northing_m,epsg
el_silencio_02,RIGHT,HMD-01,1,300688.8992,8684377.7636,32718
el_silencio_02,RIGHT,HMD-02,2,300794.8992,8684417.7636,32718
el_silencio_02,RIGHT,HMD-03,3,300822.8992,8684456.7636,32718
el_silencio_02,RIGHT,HMD-04,4,300920.8992,8684451.7636,32718
el_silencio_02,RIGHT,HMD-05,5,301016.8992,8684505.7636,32718
el_silencio_02,LEFT,HMI-01,1,300768.8992,8684270.7636,32718
el_silencio_02,LEFT,HMI-02,2,300893.8992,8684347.7636,32718
el_silencio_02,LEFT,HMI-03,3,300991.8992,8684433.7636,32718
el_silencio_02,LEFT,HMI-04,4,301064.8992,8684474.7636,32718
