segment_id,bank,hito_code,source_order,easting_m,northing_m,epsg
el_silencio_main,RIGHT,HMD-73,73,304728.4606,8686695.7636,32718
el_silencio_main,LEFT,HMI-01,1,299674.4606,8680045.7636,32718
el_silencio_main,LEFT,HMI-02,2,299744.5156,8680187.2783,32718
el_silencio_main,LEFT,HMI-03,3,299813.3074,8680428.0496,32718
el_silencio_main,LEFT,HMI-04,4,299922.3248,8680539.7238,32718
el_silencio_main,LEFT,HMI-05,5,300017.8396,8680726.8177,32718
el_silencio_main,LEFT,HMI-06,6,300087.1517,8680940.0193,32718
el_silencio_main,LEFT,HMI-07,7,300108.3184,8681121.2593,32718
el_silencio_main,LEFT,HMI-08,8,300165.2040,8681294.5617,32718
el_silencio_main,LEFT,HMI-09,9,300301.4606,8681542.7636,32718
el_silencio_main,LEFT,HMI-10,10,300309.4606,8681680.7636,32718
el_silencio_main,LEFT,HMI-11,11,300342.4606,8681817.7636,32718
el_silencio_main,LEFT,HMI-12,12,300365.4606,8681964.7636,32718
el_silencio_main,LEFT,HMI-13,13,300401.4606,8682035.7636,32718
el_silencio_main,LEFT,HMI-14,14,300424.7166,8682157.7666,32718
el_silencio_main,LEFT,HMI-15,15,300430.0083,8682274.8449,32718
el_silencio_main,LEFT,HMI-16,16,300488.8782,8682366.1264,32718
el_silencio_main,LEFT,HMI-17,17,300575.4606,8682498.7636,32718
el_silencio_main,LEFT,HMI-18,18,300604.4606,8682551.7636,32718
el_silencio_main,LEFT,HMI-19,19,300708.4606,8682625.7636,32718
el_silencio_main,LEFT,HMI-20,20,300799.4606,8682688.7636,32718
el_silencio_main,LEFT,HMI-21,21,300871.8634,8682692.2260,32718
el_silencio_main,LEFT,HMI-22,22,300940.6552,8682721.3302,32718
el_silencio_main,LEFT,HMI-23,23,301018.0459,8682777.5543,32718
el_silencio_main,LEFT,HMI-24,24,301098.4606,8682834.7636,32718
el_silencio_main,LEFT,HMI-25,25,301179.4606,8682876.7636,32718
el_silencio_main,LEFT,HMI-26,26,301319.4606,8682991.7636,32718
el_silencio_main,LEFT,HMI-27,27,301445.4606,8683061.7636,32718
el_silencio_main,LEFT,HMI-28,28,301727.4606,8683181.7636,32718
