bank,hito_code,source_order,easting_m,northing_m,epsg
RIGHT,HMD-93,93,306438.4606,8682301.7636,32718
RIGHT,HMD-94,94,306580.4606,8682449.7636,32718
RIGHT,HMD-95,95,306784.4606,8682550.7636,32718
RIGHT,HMD-96,96,306956.4606,8682680.7636,32718
RIGHT,HMD-97,97,307115.4606,8682823.7636,32718
RIGHT,HMD-98,98,307213.4606,8683061.7636,32718
RIGHT,HMD-99,99,307356.4606,8683234.7636,32718
RIGHT,HMD-100,100,307545.4606,8683360.7636,32718
RIGHT,HMD-101,101,307696.4606,8683441.7636,32718
RIGHT,HMD-102,102,307867.4606,8683536.7636,32718
RIGHT,HMD-103,103,308045.4606,8683570.7636,32718
RIGHT,HMD-104,104,308232.4606,8683561.7636,32718
RIGHT,HMD-105,105,308378.4606,8683637.7636,32718
RIGHT,HMD-106,106,308328.4606,8683708.7636,32718
RIGHT,HMD-107,107,308444.4606,8683870.7636,32718
RIGHT,HMD-108,108,308614.4606,8683981.7636,32718
RIGHT,HMD-109,109,308711.4606,8684115.7636,32718
RIGHT,HMD-110,110,308798.4606,8684203.7636,32718
RIGHT,HMD-111,111,309020.4606,8684340.7636,32718
RIGHT,HMD-112,112,309146.4606,8684443.7636,32718
RIGHT,HMD-113,113,309222.4606,8684530.7636,32718
RIGHT,HMD-114,114,309257.4606,8684600.7636,32718
RIGHT,HMD-115,115,309375.9735,8684676.8916,32718
RIGHT,HMD-116,116,309549.9373,8684713.2719,32718
RIGHT,HMD-117,117,309715.4606,8684703.7636,32718
RIGHT,HMD-118,118,309880.4606,8684655.7636,32718
RIGHT,HMD-119,119,310042.4606,8684610.7636,32718
RIGHT,HMD-120,120,310190.2303,8684637.2040,32718
RIGHT,HMD-121,121,310270.4606,8684671.7636,32718
RIGHT,HMD-122,122,310370.4606,8684770.7636,32718
RIGHT,HMD-123,123,310447.4606,8684905.7636,32718
RIGHT,HMD-124,124,310583.4606,8685020.7636,32718
RIGHT,HMD-125,125,310675.4606,8685068.7636,32718
RIGHT,HMD-126,126,310707.4606,8685156.7636,32718
RIGHT,HMD-127,127,310831.4606,8685280.7636,32718
RIGHT,HMD-128,128,310841.4606,8685370.7636,32718
